date,country,network,market_volume
2021-04-26,US,Facebook,3570397.0
2021-04-27,US,Facebook,3345718.0
2021-04-28,US,Facebook,3449853.0
2021-04-29,US,Facebook,3690164.0
2021-04-30,US,Facebook,3930843.0
2021-05-01,US,Facebook,4838512.0
2021-05-02,US,Facebook,4422102.0
2021-05-03,US,Facebook,3941129.0
2021-05-04,US,Facebook,4049264.0
2021-05-05,US,Facebook,3870671.0
2021-05-06,US,Facebook,3579111.0
2021-05-07,US,Facebook,4152818.0
2021-05-08,US,Facebook,5076805.0
2021-05-09,US,Facebook,6023276.0
2021-05-10,US,Facebook,4005520.0
2021-05-11,US,Facebook,4225079.0
2021-05-12,US,Facebook,4211382.0
2021-05-13,US,Facebook,4195455.0
2021-05-14,US,Facebook,4409630.0
2021-05-15,US,Facebook,5202742.0
2021-05-16,US,Facebook,5387434.0
2021-05-17,US,Facebook,3955308.0
2021-05-18,US,Facebook,3748840.0
2021-05-19,US,Facebook,3731542.0
2021-05-20,US,Facebook,4148996.0
2021-05-21,US,Facebook,3922630.0
2021-05-22,US,Facebook,5220657.0
2021-05-23,US,Facebook,5215202.0
2021-05-24,US,Facebook,4136225.0
2021-05-25,US,Facebook,4154624.0
2021-05-26,US,Facebook,4262313.0
2021-05-27,US,Facebook,4528201.0
2021-05-28,US,Facebook,5359040.0
2021-05-29,US,Facebook,5320161.0
2021-05-30,US,Facebook,6038962.0
2021-05-31,US,Facebook,5081011.0
2021-06-01,US,Facebook,4457493.0
2021-06-02,US,Facebook,4253596.0
2021-06-03,US,Facebook,4443738.0
2021-06-04,US,Facebook,4022692.0
2021-06-05,US,Facebook,4452670.0
2021-06-06,US,Facebook,4506425.0
2021-06-07,US,Facebook,3304259.0
2021-06-08,US,Facebook,3488118.0
2021-06-09,US,Facebook,3789719.0
2021-06-10,US,Facebook,3385276.0
2021-06-11,US,Facebook,3626095.0
2021-06-12,US,Facebook,3084717.0
2021-06-13,US,Facebook,3572383.0
2021-06-14,US,Facebook,2978448.0
2021-06-15,US,Facebook,3595679.0
2021-06-16,US,Facebook,3483799.0
2021-06-17,US,Facebook,3700098.0
2021-06-18,US,Facebook,3487306.0
2021-06-19,US,Facebook,4238682.0
2021-06-20,US,Facebook,4374775.0
2021-06-21,US,Facebook,4059161.0
2021-06-22,US,Facebook,3563217.0
2021-06-23,US,Facebook,3728808.0
2021-06-24,US,Facebook,4294835.0
2021-06-25,US,Facebook,4519582.0
2021-06-26,US,Facebook,4533087.0
2021-06-27,US,Facebook,4361877.0
2021-06-28,US,Facebook,4007738.0
2021-06-29,US,Facebook,3873232.0
2021-06-30,US,Facebook,3759816.0
2021-07-01,US,Facebook,3934139.0
2021-07-02,US,Facebook,4183536.0
2021-07-03,US,Facebook,3758227.0
2021-07-04,US,Facebook,3545624.0
2021-07-05,US,Facebook,4620035.0
2021-07-06,US,Facebook,4177390.0
2021-07-07,US,Facebook,4144918.0
2021-07-08,US,Facebook,4119828.0
2021-07-09,US,Facebook,4733599.0
2021-07-10,US,Facebook,5008216.0
2021-07-11,US,Facebook,5258381.0
2021-07-12,US,Facebook,4846921.0
2021-07-13,US,Facebook,4253902.0
2021-07-14,US,Facebook,3723555.0
2021-07-15,US,Facebook,4295159.0
2021-07-16,US,Facebook,3765181.0
2021-07-17,US,Facebook,4225153.0
2021-07-18,US,Facebook,4695724.0
2021-07-19,US,Facebook,4233762.0
2021-07-20,US,Facebook,4692641.0
2021-07-21,US,Facebook,5989852.0
2021-07-22,US,Facebook,4544983.0
2021-07-23,US,Facebook,4266942.0
2021-07-24,US,Facebook,4215195.0
2021-07-25,US,Facebook,4055892.0
2021-07-26,US,Facebook,3732481.0
2021-07-27,US,Facebook,2856180.0
2021-07-28,US,Facebook,3415377.0
2021-07-29,US,Facebook,3094211.0
2021-07-30,US,Facebook,3713201.0
2021-07-31,US,Facebook,3483379.0
2021-08-01,US,Facebook,4362134.0
2021-08-02,US,Facebook,3210539.0
2021-08-03,US,Facebook,3132684.0
2021-08-04,US,Facebook,2751540.0
2021-08-05,US,Facebook,2541780.0
2021-08-06,US,Facebook,2896385.0
2021-08-07,US,Facebook,2567370.0
2021-08-08,US,Facebook,2890258.0
2021-08-09,US,Facebook,2740246.0
2021-08-10,US,Facebook,2828122.0
2021-08-11,US,Facebook,2708807.0
2021-08-12,US,Facebook,2681353.0
2021-08-13,US,Facebook,3196416.0
2021-08-14,US,Facebook,3723600.0
2021-08-15,US,Facebook,3674442.0
2021-08-16,US,Facebook,2505325.0
2021-08-17,US,Facebook,2143541.0
2021-08-18,US,Facebook,3162116.0
2021-08-19,US,Facebook,2510589.0
2021-08-20,US,Facebook,2385374.0
2021-08-21,US,Facebook,3522538.0
2021-08-22,US,Facebook,3958223.0
2021-08-23,US,Facebook,2258501.0
2021-08-24,US,Facebook,2340816.0
2021-08-25,US,Facebook,2517607.0
2021-08-26,US,Facebook,2546555.0
2021-08-27,US,Facebook,2678269.0
2021-08-28,US,Facebook,3273406.0
2021-08-29,US,Facebook,3942313.0
2021-08-30,US,Facebook,2304042.0
2021-08-31,US,Facebook,2309613.0
2021-09-01,US,Facebook,1825382.0
2021-09-02,US,Facebook,1875805.0
2021-09-03,US,Facebook,1742878.0
2021-09-04,US,Facebook,3262331.0
2021-09-05,US,Facebook,3682955.0
2021-09-06,US,Facebook,2823406.0
2021-09-07,US,Facebook,2010805.0
2021-09-08,US,Facebook,1867326.0
2021-09-09,US,Facebook,2282485.0
2021-09-10,US,Facebook,2199952.0
2021-09-11,US,Facebook,2842730.0
2021-09-12,US,Facebook,3248028.0
2021-09-13,US,Facebook,1612866.0
2021-09-14,US,Facebook,1585466.0
2021-09-15,US,Facebook,1657760.0
2021-09-16,US,Facebook,2390016.0
2021-09-17,US,Facebook,2321787.0
2021-09-18,US,Facebook,3219871.0
