,date,country,market_volume
0,2021-04-26,WW,138468358.65673262
1,2021-04-27,WW,136609480.60894525
2,2021-04-28,WW,132794366.18144876
3,2021-04-29,WW,132198651.31460565
4,2021-04-30,WW,152811192.14738062
5,2021-05-01,WW,157816264.48129314
6,2021-05-02,WW,162958496.11905828
7,2021-05-03,WW,134093125.85157757
8,2021-05-04,WW,129225464.82895726
9,2021-05-05,WW,143735207.19684803
10,2021-05-06,WW,131347545.89758903
11,2021-05-07,WW,126679054.44994576
12,2021-05-08,WW,145175303.4957332
13,2021-05-09,WW,155579829.04482365
14,2021-05-10,WW,116639631.60563312
15,2021-05-11,WW,116366852.13059187
16,2021-05-12,WW,120602550.12336272
17,2021-05-13,WW,124275559.18037681
18,2021-05-14,WW,115674672.0615628
19,2021-05-15,WW,123407570.9265297
20,2021-05-16,WW,129159929.38114323
21,2021-05-17,WW,109024552.78146417
22,2021-05-18,WW,112059958.58625193
23,2021-05-19,WW,103346672.43786213
24,2021-05-20,WW,105407092.00777687
25,2021-05-21,WW,114055125.39401665
26,2021-05-22,WW,133534998.96446362
27,2021-05-23,WW,138125392.69450456
28,2021-05-24,WW,106458971.47946544
29,2021-05-25,WW,100549716.31005254
30,2021-05-26,WW,108171772.81558059
31,2021-05-27,WW,103922709.98989359
32,2021-05-28,WW,122736078.34696174
33,2021-05-29,WW,143463458.2309941
34,2021-05-30,WW,132740532.37139918
35,2021-05-31,WW,109307774.02203774
36,2021-06-01,WW,101470393.04442705
37,2021-06-02,WW,103623270.50143889
38,2021-06-03,WW,104342148.52935721
39,2021-06-04,WW,111173556.01413006
40,2021-06-05,WW,126663413.03688423
41,2021-06-06,WW,125111054.03704265
42,2021-06-07,WW,106364842.73291118
43,2021-06-08,WW,96731435.665626
44,2021-06-09,WW,100506452.54731312
45,2021-06-10,WW,113093718.86180003
46,2021-06-11,WW,104074783.72574481
47,2021-06-12,WW,127183973.01862925
48,2021-06-13,WW,135397144.35473353
49,2021-06-14,WW,106596817.00584085
50,2021-06-15,WW,102086967.97664618
51,2021-06-16,WW,100710101.29006465
52,2021-06-17,WW,114977251.78851667
53,2021-06-18,WW,127130000.64778158
54,2021-06-19,WW,137480522.1209398
55,2021-06-20,WW,141565912.106994
56,2021-06-21,WW,123877141.04590489
57,2021-06-22,WW,116615359.58798648
58,2021-06-23,WW,117149420.48279466
59,2021-06-24,WW,104860582.86772695
60,2021-06-25,WW,119205902.57584563
61,2021-06-26,WW,150720351.9091881
62,2021-06-27,WW,144909125.96579075
63,2021-06-28,WW,117845969.72640635
64,2021-06-29,WW,124648382.44735804
65,2021-06-30,WW,102141896.64436229
66,2021-07-01,WW,97738880.12364367
67,2021-07-02,WW,112985116.48174796
68,2021-07-03,WW,104260172.67663436
69,2021-07-04,WW,101279745.96772175
70,2021-07-05,WW,91156809.64311086
71,2021-07-06,WW,94992065.79542518
72,2021-07-07,WW,89390736.60501696
73,2021-07-08,WW,88244037.5182639
74,2021-07-09,WW,94542861.4566505
75,2021-07-10,WW,106151854.42930849
76,2021-07-11,WW,118808274.12148309
77,2021-07-12,WW,99329276.06103438
78,2021-07-13,WW,109164005.55185473
79,2021-07-14,WW,114314411.48206134
80,2021-07-15,WW,108469205.92254859
81,2021-07-16,WW,106694925.28031564
82,2021-07-17,WW,116753482.8307723
83,2021-07-18,WW,127477560.64518625
84,2021-07-19,WW,99677324.6599274
85,2021-07-20,WW,98574220.19638339
86,2021-07-21,WW,93004597.54872
87,2021-07-22,WW,82089174.88934372
88,2021-07-23,WW,76069795.22416137
89,2021-07-24,WW,78494857.05483548
90,2021-07-25,WW,89339798.18595302
91,2021-07-26,WW,79117838.95759651
92,2021-07-27,WW,81321002.62149706
93,2021-07-28,WW,91756693.25159405
94,2021-07-29,WW,98419043.92117587
95,2021-07-30,WW,101605188.52859029
96,2021-07-31,WW,121509503.61930309
97,2021-08-01,WW,137717811.2477595
98,2021-08-02,WW,108751151.58256395
99,2021-08-03,WW,108208029.33415991
100,2021-08-04,WW,106358571.65446171
101,2021-08-05,WW,109785150.87651521
102,2021-08-06,WW,109693091.61564675
103,2021-08-07,WW,120701656.46309994
104,2021-08-08,WW,115292017.57742067
105,2021-08-09,WW,84512481.53270638
106,2021-08-10,WW,87817242.27784827
107,2021-08-11,WW,84142747.79302865
108,2021-08-12,WW,92044776.22443034
109,2021-08-13,WW,95828140.00459759
110,2021-08-14,WW,104652069.97322224
111,2021-08-15,WW,88312852.39818555
112,2021-08-16,WW,68171977.26231787
113,2021-08-17,WW,67868176.69070862
114,2021-08-18,WW,69217539.34585755
115,2021-08-19,WW,66147913.93563598
116,2021-08-20,WW,88067183.34386386
117,2021-08-21,WW,83875803.80272321
118,2021-08-22,WW,89377035.3190914
119,2021-08-23,WW,63998162.01068234
120,2021-08-24,WW,64704574.153975695
121,2021-08-25,WW,65828335.289341874
122,2021-08-26,WW,67380160.28090937
123,2021-08-27,WW,73476202.6492691
124,2021-08-28,WW,88580013.83574843
125,2021-08-29,WW,90566247.79556558
126,2021-08-30,WW,67441121.03040634
127,2021-08-31,WW,72944105.04445761
128,2021-09-01,WW,72574928.69813137
129,2021-09-02,WW,79959494.5227285
130,2021-09-03,WW,82906042.97741884
131,2021-09-04,WW,108655191.24870658
132,2021-09-05,WW,117273821.50343297
133,2021-09-06,WW,93922587.67900741
134,2021-09-07,WW,70744922.05877888
135,2021-09-08,WW,71605014.38116917
136,2021-09-09,WW,70735662.83035679
137,2021-09-10,WW,76612959.82397246
138,2021-09-11,WW,109984755.97697358
139,2021-09-12,WW,93167692.38291526
140,2021-09-13,WW,64550562.91091245
141,2021-09-14,WW,64049096.1477779
142,2021-09-15,WW,84124268.15522242
143,2021-09-16,WW,71400231.26834953
144,2021-09-17,WW,93808644.58398859
145,2021-09-18,WW,114803628.02989699
146,2021-09-19,WW,106105515.15893291
147,2021-09-20,WW,67758172.75441936
148,2021-09-21,WW,83242184.23799546
149,2021-09-22,WW,94065279.16930898
150,2021-09-23,WW,97355000.22481152
151,2021-09-24,WW,114506027.39876969
152,2021-09-25,WW,140256974.97042763
153,2021-09-26,WW,145055826.65459377
154,2021-09-27,WW,108891211.66684799
155,2021-09-28,WW,116934381.7699717
156,2021-09-29,WW,121079880.17012432
157,2021-09-30,WW,111913297.43678887
158,2021-10-01,WW,110497715.61129764
159,2021-10-02,WW,99168921.89647885
160,2021-10-03,WW,142276501.51471412
161,2021-10-04,WW,85474130.40479329
162,2021-10-05,WW,106590255.48589283
163,2021-10-06,WW,110865208.54613246
164,2021-10-07,WW,105662328.32337962
165,2021-10-08,WW,117173314.06117755
166,2021-10-09,WW,139874724.10973778
167,2021-10-10,WW,147022954.02884516
168,2021-10-11,WW,114461786.93773073
169,2021-10-12,WW,92326971.28843682
170,2021-10-13,WW,103077199.54563737
171,2021-10-14,WW,70424164.36590457
172,2021-10-15,WW,100153026.53803886
173,2021-10-16,WW,106637959.67424072
174,2021-10-17,WW,111352098.56427711
