date,country,network,market_volume
2021-04-26,WW,Facebook,21563302.0
2021-04-27,WW,Facebook,22577172.0
2021-04-28,WW,Facebook,21125089.0
2021-04-29,WW,Facebook,21482116.0
2021-04-30,WW,Facebook,23377455.0
2021-05-01,WW,Facebook,19918114.0
2021-05-02,WW,Facebook,20992383.0
2021-05-03,WW,Facebook,17392423.0
2021-05-04,WW,Facebook,17541902.0
2021-05-05,WW,Facebook,16845555.0
2021-05-06,WW,Facebook,16054453.0
2021-05-07,WW,Facebook,16694415.0
2021-05-08,WW,Facebook,19722729.0
2021-05-09,WW,Facebook,26634754.0
2021-05-10,WW,Facebook,21208274.0
2021-05-11,WW,Facebook,20793005.0
2021-05-12,WW,Facebook,20332190.0
2021-05-13,WW,Facebook,21386816.0
2021-05-14,WW,Facebook,15642392.0
2021-05-15,WW,Facebook,16456487.0
2021-05-16,WW,Facebook,17455387.0
2021-05-17,WW,Facebook,13840726.0
2021-05-18,WW,Facebook,13648239.0
2021-05-19,WW,Facebook,14576058.0
2021-05-20,WW,Facebook,15733520.0
2021-05-21,WW,Facebook,15817157.0
2021-05-22,WW,Facebook,19481633.0
2021-05-23,WW,Facebook,19924225.0
2021-05-24,WW,Facebook,15897172.0
2021-05-25,WW,Facebook,16474977.0
2021-05-26,WW,Facebook,16522263.0
2021-05-27,WW,Facebook,16405730.0
2021-05-28,WW,Facebook,17181249.0
2021-05-29,WW,Facebook,20201537.0
2021-05-30,WW,Facebook,20751959.0
2021-05-31,WW,Facebook,14771584.0
2021-06-01,WW,Facebook,14837800.0
2021-06-02,WW,Facebook,14658987.0
2021-06-03,WW,Facebook,14740841.0
2021-06-04,WW,Facebook,15708720.0
2021-06-05,WW,Facebook,17598459.0
2021-06-06,WW,Facebook,17567487.0
2021-06-07,WW,Facebook,13903057.0
2021-06-08,WW,Facebook,11870168.0
2021-06-09,WW,Facebook,13550772.0
2021-06-10,WW,Facebook,13443131.0
2021-06-11,WW,Facebook,13886772.0
2021-06-12,WW,Facebook,15670963.0
2021-06-13,WW,Facebook,16575630.0
2021-06-14,WW,Facebook,13888585.0
2021-06-15,WW,Facebook,13108941.0
2021-06-16,WW,Facebook,12754241.0
2021-06-17,WW,Facebook,13075958.0
2021-06-18,WW,Facebook,13902724.0
2021-06-19,WW,Facebook,15430697.0
2021-06-20,WW,Facebook,16875416.0
2021-06-21,WW,Facebook,13619539.0
2021-06-22,WW,Facebook,12894709.0
2021-06-23,WW,Facebook,13052475.0
2021-06-24,WW,Facebook,13649588.0
2021-06-25,WW,Facebook,14186715.0
2021-06-26,WW,Facebook,17453340.0
2021-06-27,WW,Facebook,16368873.0
2021-06-28,WW,Facebook,13414415.0
2021-06-29,WW,Facebook,22472267.0
2021-06-30,WW,Facebook,15335402.0
2021-07-01,WW,Facebook,15107755.0
2021-07-02,WW,Facebook,14239189.0
2021-07-03,WW,Facebook,15532244.0
2021-07-04,WW,Facebook,16930103.0
2021-07-05,WW,Facebook,15300744.0
2021-07-06,WW,Facebook,12255417.0
2021-07-07,WW,Facebook,14064067.0
2021-07-08,WW,Facebook,13782707.0
2021-07-09,WW,Facebook,14303675.0
2021-07-10,WW,Facebook,14388723.0
2021-07-11,WW,Facebook,15856668.0
2021-07-12,WW,Facebook,8810524.0
2021-07-13,WW,Facebook,12067995.0
2021-07-14,WW,Facebook,13083530.0
2021-07-15,WW,Facebook,11475204.0
2021-07-16,WW,Facebook,11493025.0
2021-07-17,WW,Facebook,12266921.0
2021-07-18,WW,Facebook,13501300.0
2021-07-19,WW,Facebook,6772756.0
2021-07-20,WW,Facebook,9964411.0
2021-07-21,WW,Facebook,14160608.0
2021-07-22,WW,Facebook,11352035.0
2021-07-23,WW,Facebook,11959170.0
2021-07-24,WW,Facebook,13015980.0
2021-07-25,WW,Facebook,11935055.0
2021-07-26,WW,Facebook,8253477.0
2021-07-27,WW,Facebook,8564229.0
2021-07-28,WW,Facebook,9936111.0
2021-07-29,WW,Facebook,9973118.0
2021-07-30,WW,Facebook,11658252.0
2021-07-31,WW,Facebook,12601288.0
2021-08-01,WW,Facebook,15523982.0
2021-08-02,WW,Facebook,9448714.0
2021-08-03,WW,Facebook,10394835.0
2021-08-04,WW,Facebook,10901300.0
2021-08-05,WW,Facebook,12077653.0
2021-08-06,WW,Facebook,11328485.0
2021-08-07,WW,Facebook,14077694.0
2021-08-08,WW,Facebook,15131982.0
2021-08-09,WW,Facebook,10934203.0
2021-08-10,WW,Facebook,10932223.0
2021-08-11,WW,Facebook,8809486.0
2021-08-12,WW,Facebook,10186555.0
2021-08-13,WW,Facebook,11255091.0
2021-08-14,WW,Facebook,12457907.0
2021-08-15,WW,Facebook,12973343.0
2021-08-16,WW,Facebook,10073415.0
2021-08-17,WW,Facebook,11136274.0
2021-08-18,WW,Facebook,11643387.0
2021-08-19,WW,Facebook,10648189.0
2021-08-20,WW,Facebook,11757918.0
2021-08-21,WW,Facebook,12833931.0
2021-08-22,WW,Facebook,13913507.0
2021-08-23,WW,Facebook,10049870.0
2021-08-24,WW,Facebook,10489528.0
2021-08-25,WW,Facebook,10277716.0
2021-08-26,WW,Facebook,10664099.0
2021-08-27,WW,Facebook,11560760.0
2021-08-28,WW,Facebook,13293274.0
2021-08-29,WW,Facebook,13651392.0
2021-08-30,WW,Facebook,10664154.0
2021-08-31,WW,Facebook,10140028.0
2021-09-01,WW,Facebook,10188727.0
2021-09-02,WW,Facebook,9913034.0
2021-09-03,WW,Facebook,10661085.0
2021-09-04,WW,Facebook,12930668.0
2021-09-05,WW,Facebook,13863957.0
2021-09-06,WW,Facebook,10950809.0
2021-09-07,WW,Facebook,9846169.0
2021-09-08,WW,Facebook,10746609.0
2021-09-09,WW,Facebook,10390813.0
2021-09-10,WW,Facebook,12891767.0
2021-09-11,WW,Facebook,13653876.0
2021-09-12,WW,Facebook,14116402.0
2021-09-13,WW,Facebook,9127012.0
2021-09-14,WW,Facebook,9669773.0
2021-09-15,WW,Facebook,10089187.0
2021-09-16,WW,Facebook,10414615.0
2021-09-17,WW,Facebook,11481029.0
