,date,country,platform,market_volume
0,2021-04-26,WW,Android,99673223.10735528
1,2021-04-27,WW,Android,97952047.75624366
2,2021-04-28,WW,Android,94644573.09572268
3,2021-04-29,WW,Android,94059997.80573612
4,2021-04-30,WW,Android,108641715.48648758
5,2021-05-01,WW,Android,109038037.3386673
6,2021-05-02,WW,Android,118489797.60374856
7,2021-05-03,WW,Android,97953871.86553481
8,2021-05-04,WW,Android,95064417.00040817
9,2021-05-05,WW,Android,103021170.01694113
10,2021-05-06,WW,Android,95888099.46709746
11,2021-05-07,WW,Android,90910670.31510699
12,2021-05-08,WW,Android,99171402.23720467
13,2021-05-09,WW,Android,107149223.84992489
14,2021-05-10,WW,Android,83759224.62303773
15,2021-05-11,WW,Android,80401537.33291987
16,2021-05-12,WW,Android,84149577.88067956
17,2021-05-13,WW,Android,87631479.56642796
18,2021-05-14,WW,Android,74366676.69809674
19,2021-05-15,WW,Android,77505147.17266674
20,2021-05-16,WW,Android,82363810.12677015
21,2021-05-17,WW,Android,72512581.65774332
22,2021-05-18,WW,Android,70848448.51114483
23,2021-05-19,WW,Android,63340956.60198475
24,2021-05-20,WW,Android,64512340.2691303
25,2021-05-21,WW,Android,74712184.5542937
26,2021-05-22,WW,Android,81277279.34914356
27,2021-05-23,WW,Android,87680734.65959476
28,2021-05-24,WW,Android,66366217.968938455
29,2021-05-25,WW,Android,64229994.79002916
30,2021-05-26,WW,Android,66364554.69776422
31,2021-05-27,WW,Android,65707961.86399328
32,2021-05-28,WW,Android,76192771.97007214
33,2021-05-29,WW,Android,87996144.80825219
34,2021-05-30,WW,Android,77605053.69214451
35,2021-05-31,WW,Android,65257900.894620806
36,2021-06-01,WW,Android,63154567.03593308
37,2021-06-02,WW,Android,65018428.535808876
38,2021-06-03,WW,Android,67311162.92171508
39,2021-06-04,WW,Android,75369320.40109779
40,2021-06-05,WW,Android,85098502.0544603
41,2021-06-06,WW,Android,86827605.24059302
42,2021-06-07,WW,Android,73655756.57260957
43,2021-06-08,WW,Android,68724459.40753706
44,2021-06-09,WW,Android,72601102.20732193
45,2021-06-10,WW,Android,83958205.94018015
46,2021-06-11,WW,Android,74628183.68262184
47,2021-06-12,WW,Android,90184722.46259531
48,2021-06-13,WW,Android,95657622.86897863
49,2021-06-14,WW,Android,78113159.36159708
50,2021-06-15,WW,Android,78224612.17390478
51,2021-06-16,WW,Android,77475591.49463354
52,2021-06-17,WW,Android,92440266.68137956
53,2021-06-18,WW,Android,102605579.12602031
54,2021-06-19,WW,Android,108589966.79916587
55,2021-06-20,WW,Android,110790863.12103117
56,2021-06-21,WW,Android,98904628.96077275
57,2021-06-22,WW,Android,92327943.84704882
58,2021-06-23,WW,Android,93376579.00184697
59,2021-06-24,WW,Android,79638297.40756235
60,2021-06-25,WW,Android,93192470.52421153
61,2021-06-26,WW,Android,120580615.02242556
62,2021-06-27,WW,Android,115286779.31560543
63,2021-06-28,WW,Android,94341144.48895974
64,2021-06-29,WW,Android,101786994.0081445
65,2021-06-30,WW,Android,78849894.29474118
66,2021-07-01,WW,Android,72717788.41801465
67,2021-07-02,WW,Android,87636603.14616176
68,2021-07-03,WW,Android,75432661.60490042
69,2021-07-04,WW,Android,74313488.03820994
70,2021-07-05,WW,Android,66186103.454471536
71,2021-07-06,WW,Android,70467412.38621752
72,2021-07-07,WW,Android,64282279.2366572
73,2021-07-08,WW,Android,62597661.88688205
74,2021-07-09,WW,Android,65929228.101275325
75,2021-07-10,WW,Android,73674151.4027545
76,2021-07-11,WW,Android,88294639.72633538
77,2021-07-12,WW,Android,73289263.41643701
78,2021-07-13,WW,Android,85881726.38961112
79,2021-07-14,WW,Android,89952207.7481889
80,2021-07-15,WW,Android,83570787.36064246
81,2021-07-16,WW,Android,85308287.41569662
82,2021-07-17,WW,Android,92144214.33562389
83,2021-07-18,WW,Android,98895116.55572009
84,2021-07-19,WW,Android,72414216.23386092
85,2021-07-20,WW,Android,67669647.2390706
86,2021-07-21,WW,Android,59839848.99067152
87,2021-07-22,WW,Android,53800294.61628325
88,2021-07-23,WW,Android,49196298.6273838
89,2021-07-24,WW,Android,52321787.75499038
90,2021-07-25,WW,Android,58548861.422096744
91,2021-07-26,WW,Android,52764739.059455104
92,2021-07-27,WW,Android,55924900.662621945
93,2021-07-28,WW,Android,65859929.918055095
94,2021-07-29,WW,Android,73723269.89647385
95,2021-07-30,WW,Android,75123799.5206045
96,2021-07-31,WW,Android,91897082.618094
97,2021-08-01,WW,Android,105451287.02402344
98,2021-08-02,WW,Android,83291027.47599407
99,2021-08-03,WW,Android,81432481.58643189
100,2021-08-04,WW,Android,81217969.64229782
101,2021-08-05,WW,Android,82841483.63276999
102,2021-08-06,WW,Android,82656538.47201116
103,2021-08-07,WW,Android,90058120.69969742
104,2021-08-08,WW,Android,83061922.97441423
105,2021-08-09,WW,Android,59692482.72874181
106,2021-08-10,WW,Android,63680735.971750446
107,2021-08-11,WW,Android,62319441.95490997
108,2021-08-12,WW,Android,67788679.75506473
109,2021-08-13,WW,Android,65518310.264612995
110,2021-08-14,WW,Android,70768864.61023733
111,2021-08-15,WW,Android,55020039.16903399
112,2021-08-16,WW,Android,43491428.14311261
113,2021-08-17,WW,Android,45332477.02733518
114,2021-08-18,WW,Android,45106381.73965518
115,2021-08-19,WW,Android,40390849.19242547
116,2021-08-20,WW,Android,60966306.79174383
117,2021-08-21,WW,Android,53435778.69504787
118,2021-08-22,WW,Android,56334002.458525956
119,2021-08-23,WW,Android,40102596.08105139
120,2021-08-24,WW,Android,40241973.26550957
121,2021-08-25,WW,Android,40220763.27828777
122,2021-08-26,WW,Android,41653403.04723915
123,2021-08-27,WW,Android,46472284.955892175
124,2021-08-28,WW,Android,55002857.5254854
125,2021-08-29,WW,Android,54516240.786843
126,2021-08-30,WW,Android,45476737.50406696
127,2021-08-31,WW,Android,47775740.316266716
128,2021-09-01,WW,Android,49993383.20281401
129,2021-09-02,WW,Android,59252246.33794823
130,2021-09-03,WW,Android,56066902.97565079
131,2021-09-04,WW,Android,77443480.28086703
132,2021-09-05,WW,Android,80901569.93703248
133,2021-09-06,WW,Android,67052021.14426465
134,2021-09-07,WW,Android,45839845.73534618
135,2021-09-08,WW,Android,48086288.284073964
136,2021-09-09,WW,Android,48766850.608144134
137,2021-09-10,WW,Android,50888093.06537717
138,2021-09-11,WW,Android,76106898.09285048
139,2021-09-12,WW,Android,60350046.36196851
140,2021-09-13,WW,Android,43986280.49189965
141,2021-09-14,WW,Android,42972031.711218
142,2021-09-15,WW,Android,60096796.17870022
143,2021-09-16,WW,Android,46512787.35333466
144,2021-09-17,WW,Android,67071501.02312053
145,2021-09-18,WW,Android,79900979.99764524
146,2021-09-19,WW,Android,65183523.15504389
147,2021-09-20,WW,Android,41777992.12656689
148,2021-09-21,WW,Android,57712528.28302372
149,2021-09-22,WW,Android,68158809.54140615
150,2021-09-23,WW,Android,71169917.37188677
151,2021-09-24,WW,Android,84309262.77026457
152,2021-09-25,WW,Android,99740115.71155035
153,2021-09-26,WW,Android,98755901.05239415
154,2021-09-27,WW,Android,79842439.84781867
155,2021-09-28,WW,Android,90557892.4678983
156,2021-09-29,WW,Android,94188267.23780808
157,2021-09-30,WW,Android,82085090.48953907
158,2021-10-01,WW,Android,81729754.4214841
159,2021-10-02,WW,Android,66419811.50758506
160,2021-10-03,WW,Android,101523348.96464105
161,2021-10-04,WW,Android,57452555.7451988
162,2021-10-05,WW,Android,80388551.7090228
163,2021-10-06,WW,Android,84119112.48695147
164,2021-10-07,WW,Android,77923583.77555524
165,2021-10-08,WW,Android,88923547.4281439
166,2021-10-09,WW,Android,103373661.87130153
167,2021-10-10,WW,Android,108818971.91653407
168,2021-10-11,WW,Android,90368525.42426834
169,2021-10-12,WW,Android,70914860.72072111
170,2021-10-13,WW,Android,72302391.48239455
171,2021-10-14,WW,Android,40994567.04015689
172,2021-10-15,WW,Android,49333194.04524538
173,2021-10-16,WW,Android,57062401.55592449
174,2021-10-17,WW,Android,61532787.39860013
