date,country,network,market_volume
2021-04-26,WW,Facebook,17032033.0
2021-04-27,WW,Facebook,18230041.0
2021-04-28,WW,Facebook,16860591.0
2021-04-29,WW,Facebook,17351055.0
2021-04-30,WW,Facebook,18917839.0
2021-05-01,WW,Facebook,14369221.0
2021-05-02,WW,Facebook,15197590.0
2021-05-03,WW,Facebook,13261087.0
2021-05-04,WW,Facebook,12902884.0
2021-05-05,WW,Facebook,12591514.0
2021-05-06,WW,Facebook,12116670.0
2021-05-07,WW,Facebook,12383376.0
2021-05-08,WW,Facebook,14451776.0
2021-05-09,WW,Facebook,20469981.0
2021-05-10,WW,Facebook,16761772.0
2021-05-11,WW,Facebook,16486522.0
2021-05-12,WW,Facebook,16009794.0
2021-05-13,WW,Facebook,16686311.0
2021-05-14,WW,Facebook,10638294.0
2021-05-15,WW,Facebook,10185506.0
2021-05-16,WW,Facebook,11027782.0
2021-05-17,WW,Facebook,8967479.0
2021-05-18,WW,Facebook,8990308.0
2021-05-19,WW,Facebook,10088876.0
2021-05-20,WW,Facebook,9975923.0
2021-05-21,WW,Facebook,10841038.0
2021-05-22,WW,Facebook,11910563.0
2021-05-23,WW,Facebook,12850950.0
2021-05-24,WW,Facebook,10938505.0
2021-05-25,WW,Facebook,10404811.0
2021-05-26,WW,Facebook,10399498.0
2021-05-27,WW,Facebook,9867724.0
2021-05-28,WW,Facebook,10254871.0
2021-05-29,WW,Facebook,12099161.0
2021-05-30,WW,Facebook,12231185.0
2021-05-31,WW,Facebook,8520823.0
2021-06-01,WW,Facebook,8447163.0
2021-06-02,WW,Facebook,8671731.0
2021-06-03,WW,Facebook,8719148.0
2021-06-04,WW,Facebook,10742156.0
2021-06-05,WW,Facebook,11987539.0
2021-06-06,WW,Facebook,12018032.0
2021-06-07,WW,Facebook,10110257.0
2021-06-08,WW,Facebook,8035436.0
2021-06-09,WW,Facebook,9746260.0
2021-06-10,WW,Facebook,9568312.0
2021-06-11,WW,Facebook,9866970.0
2021-06-12,WW,Facebook,10901131.0
2021-06-13,WW,Facebook,11760517.0
2021-06-14,WW,Facebook,10506925.0
2021-06-15,WW,Facebook,9932930.0
2021-06-16,WW,Facebook,9752824.0
2021-06-17,WW,Facebook,9999422.0
2021-06-18,WW,Facebook,10021203.0
2021-06-19,WW,Facebook,10747316.0
2021-06-20,WW,Facebook,11336536.0
2021-06-21,WW,Facebook,10053856.0
2021-06-22,WW,Facebook,9607360.0
2021-06-23,WW,Facebook,9598390.0
2021-06-24,WW,Facebook,9696348.0
2021-06-25,WW,Facebook,9659669.0
2021-06-26,WW,Facebook,12192175.0
2021-06-27,WW,Facebook,11812225.0
2021-06-28,WW,Facebook,9749738.0
2021-06-29,WW,Facebook,18947712.0
2021-06-30,WW,Facebook,11697764.0
2021-07-01,WW,Facebook,11468454.0
2021-07-02,WW,Facebook,10373606.0
2021-07-03,WW,Facebook,11355745.0
2021-07-04,WW,Facebook,12574927.0
2021-07-05,WW,Facebook,11376308.0
2021-07-06,WW,Facebook,9508316.0
2021-07-07,WW,Facebook,10448533.0
2021-07-08,WW,Facebook,10364858.0
2021-07-09,WW,Facebook,10673347.0
2021-07-10,WW,Facebook,10135238.0
2021-07-11,WW,Facebook,10776696.0
2021-07-12,WW,Facebook,5954235.0
2021-07-13,WW,Facebook,9232386.0
2021-07-14,WW,Facebook,9008439.0
2021-07-15,WW,Facebook,8618067.0
2021-07-16,WW,Facebook,8520094.0
2021-07-17,WW,Facebook,9071266.0
2021-07-18,WW,Facebook,10266243.0
