date,country,network,market_volume
2021-04-26,WW,AppLovin,4477937.0
2021-04-27,WW,AppLovin,3335675.0
2021-04-28,WW,AppLovin,4523705.0
2021-04-29,WW,AppLovin,4552891.0
2021-04-30,WW,AppLovin,5325783.0
2021-05-01,WW,AppLovin,3297798.0
2021-05-02,WW,AppLovin,3296185.0
2021-05-03,WW,AppLovin,2655351.0
2021-05-04,WW,AppLovin,2588511.0
2021-05-05,WW,AppLovin,3852723.0
2021-05-06,WW,AppLovin,3326165.0
2021-05-07,WW,AppLovin,3540838.0
2021-05-08,WW,AppLovin,2913227.0
2021-05-09,WW,AppLovin,3191903.0
2021-05-10,WW,AppLovin,2362726.0
2021-05-11,WW,AppLovin,2341781.0
2021-05-12,WW,AppLovin,3641293.0
2021-05-13,WW,AppLovin,2477175.0
2021-05-14,WW,AppLovin,3818849.0
2021-05-15,WW,AppLovin,3143521.0
2021-05-16,WW,AppLovin,3259428.0
2021-05-17,WW,AppLovin,4664621.0
2021-05-18,WW,AppLovin,4474568.0
2021-05-19,WW,AppLovin,4645453.0
2021-05-20,WW,AppLovin,4700542.0
2021-05-21,WW,AppLovin,4878724.0
2021-05-22,WW,AppLovin,4643951.0
2021-05-23,WW,AppLovin,5021282.0
2021-05-24,WW,AppLovin,4902311.0
2021-05-25,WW,AppLovin,4667661.0
2021-05-26,WW,AppLovin,4595472.0
2021-05-27,WW,AppLovin,4716303.0
2021-05-28,WW,AppLovin,5013932.0
2021-05-29,WW,AppLovin,6072583.0
2021-05-30,WW,AppLovin,6612082.0
2021-05-31,WW,AppLovin,5265241.0
2021-06-01,WW,AppLovin,4998227.0
2021-06-02,WW,AppLovin,4766114.0
2021-06-03,WW,AppLovin,4929018.0
2021-06-04,WW,AppLovin,5054211.0
2021-06-05,WW,AppLovin,4367236.0
2021-06-06,WW,AppLovin,3255420.0
2021-06-07,WW,AppLovin,4825197.0
2021-06-08,WW,AppLovin,3372612.0
2021-06-09,WW,AppLovin,2210197.0
2021-06-10,WW,AppLovin,2361725.0
2021-06-11,WW,AppLovin,2438418.0
2021-06-12,WW,AppLovin,2751914.0
2021-06-13,WW,AppLovin,3206732.0
2021-06-14,WW,AppLovin,2520931.0
2021-06-15,WW,AppLovin,2262678.0
2021-06-16,WW,AppLovin,2293422.0
2021-06-17,WW,AppLovin,2272956.0
2021-06-18,WW,AppLovin,2333716.0
2021-06-19,WW,AppLovin,2810501.0
2021-06-20,WW,AppLovin,2809858.0
2021-06-21,WW,AppLovin,2385999.0
2021-06-22,WW,AppLovin,2361153.0
2021-06-23,WW,AppLovin,2408001.0
2021-06-24,WW,AppLovin,2428667.0
2021-06-25,WW,AppLovin,2503273.0
2021-06-26,WW,AppLovin,2531502.0
2021-06-27,WW,AppLovin,3106535.0
2021-06-28,WW,AppLovin,2162704.0
2021-06-29,WW,AppLovin,2428618.0
2021-06-30,WW,AppLovin,2199316.0
2021-07-01,WW,AppLovin,2272586.0
2021-07-02,WW,AppLovin,2320975.0
2021-07-03,WW,AppLovin,2594311.0
2021-07-04,WW,AppLovin,2664252.0
2021-07-05,WW,AppLovin,2316372.0
2021-07-06,WW,AppLovin,2293584.0
2021-07-07,WW,AppLovin,2085664.0
2021-07-08,WW,AppLovin,2022746.0
2021-07-09,WW,AppLovin,2035484.0
2021-07-10,WW,AppLovin,2530299.0
2021-07-11,WW,AppLovin,2957339.0
2021-07-12,WW,AppLovin,2173617.0
2021-07-13,WW,AppLovin,2452774.0
2021-07-14,WW,AppLovin,2144590.0
2021-07-15,WW,AppLovin,2632651.0
2021-07-16,WW,AppLovin,2386505.0
2021-07-17,WW,AppLovin,3012216.0
2021-07-18,WW,AppLovin,2850666.0
2021-07-19,WW,AppLovin,2363347.0
2021-07-20,WW,AppLovin,2754773.0
2021-07-21,WW,AppLovin,3028873.0
2021-07-22,WW,AppLovin,2740649.0
2021-07-23,WW,AppLovin,2402001.0
2021-07-24,WW,AppLovin,2441978.0
2021-07-25,WW,AppLovin,2827843.0
2021-07-26,WW,AppLovin,2268618.0
2021-07-27,WW,AppLovin,2298357.0
2021-07-28,WW,AppLovin,2391218.0
2021-07-29,WW,AppLovin,2450126.0
2021-07-30,WW,AppLovin,2300038.0
2021-07-31,WW,AppLovin,2603337.0
2021-08-01,WW,AppLovin,2681553.0
2021-08-02,WW,AppLovin,2080452.0
2021-08-03,WW,AppLovin,2372037.0
2021-08-04,WW,AppLovin,2059144.0
2021-08-05,WW,AppLovin,2049153.0
2021-08-06,WW,AppLovin,2412577.0
2021-08-07,WW,AppLovin,2713014.0
2021-08-08,WW,AppLovin,2603897.0
2021-08-09,WW,AppLovin,2222583.0
2021-08-10,WW,AppLovin,2196812.0
2021-08-11,WW,AppLovin,2098108.0
2021-08-12,WW,AppLovin,2106581.0
2021-08-13,WW,AppLovin,2173289.0
2021-08-14,WW,AppLovin,2414530.0
2021-08-15,WW,AppLovin,2682467.0
2021-08-16,WW,AppLovin,2067140.0
2021-08-17,WW,AppLovin,1971745.0
2021-08-18,WW,AppLovin,1939050.0
2021-08-19,WW,AppLovin,1953002.0
2021-08-20,WW,AppLovin,2030827.0
2021-08-21,WW,AppLovin,2253503.0
2021-08-22,WW,AppLovin,2611039.0
2021-08-23,WW,AppLovin,1809437.0
2021-08-24,WW,AppLovin,1750953.0
2021-08-25,WW,AppLovin,1898429.0
2021-08-26,WW,AppLovin,2011878.0
2021-08-27,WW,AppLovin,2066676.0
2021-08-28,WW,AppLovin,4462850.0
2021-08-29,WW,AppLovin,4917909.0
2021-08-30,WW,AppLovin,1789978.0
2021-08-31,WW,AppLovin,1752720.0
2021-09-01,WW,AppLovin,1582524.0
2021-09-02,WW,AppLovin,1481575.0
2021-09-03,WW,AppLovin,3175039.0
2021-09-04,WW,AppLovin,3744282.0
2021-09-05,WW,AppLovin,4637644.0
2021-09-06,WW,AppLovin,3360784.0
2021-09-07,WW,AppLovin,3189298.0
2021-09-08,WW,AppLovin,2964465.0
2021-09-09,WW,AppLovin,1484285.0
2021-09-10,WW,AppLovin,2431207.0
2021-09-11,WW,AppLovin,3303131.0
2021-09-12,WW,AppLovin,2115582.0
2021-09-13,WW,AppLovin,1355793.0
2021-09-14,WW,AppLovin,1992072.0
2021-09-15,WW,AppLovin,2780162.0
2021-09-16,WW,AppLovin,2903283.0
2021-09-17,WW,AppLovin,3156956.0
2021-09-18,WW,AppLovin,3105195.0
