date,country,network,market_volume
2021-04-26,WW,Unity,4870955.0
2021-04-27,WW,Unity,4590769.0
2021-04-28,WW,Unity,3919018.0
2021-04-29,WW,Unity,3810381.0
2021-04-30,WW,Unity,4015013.0
2021-05-01,WW,Unity,5048142.0
2021-05-02,WW,Unity,4742832.0
2021-05-03,WW,Unity,3865300.0
2021-05-04,WW,Unity,3672573.0
2021-05-05,WW,Unity,4138516.0
2021-05-06,WW,Unity,4034205.0
2021-05-07,WW,Unity,4150605.0
2021-05-08,WW,Unity,4918558.0
2021-05-09,WW,Unity,5598658.0
2021-05-10,WW,Unity,4105028.0
2021-05-11,WW,Unity,4104626.0
2021-05-12,WW,Unity,4219310.0
2021-05-13,WW,Unity,4250598.0
2021-05-14,WW,Unity,4238189.0
2021-05-15,WW,Unity,5232263.0
2021-05-16,WW,Unity,5485774.0
2021-05-17,WW,Unity,3799825.0
2021-05-18,WW,Unity,4397159.0
2021-05-19,WW,Unity,4624825.0
2021-05-20,WW,Unity,4132739.0
2021-05-21,WW,Unity,4105175.0
2021-05-22,WW,Unity,5093070.0
2021-05-23,WW,Unity,4967250.0
2021-05-24,WW,Unity,3963365.0
2021-05-25,WW,Unity,4086707.0
2021-05-26,WW,Unity,4113966.0
2021-05-27,WW,Unity,4113559.0
2021-05-28,WW,Unity,5298205.0
2021-05-29,WW,Unity,6360963.0
2021-05-30,WW,Unity,5668408.0
2021-05-31,WW,Unity,4594064.0
2021-06-01,WW,Unity,4541139.0
2021-06-02,WW,Unity,4278072.0
2021-06-03,WW,Unity,4381751.0
2021-06-04,WW,Unity,4318925.0
2021-06-05,WW,Unity,4969560.0
2021-06-06,WW,Unity,4816502.0
2021-06-07,WW,Unity,4354986.0
2021-06-08,WW,Unity,3456722.0
2021-06-09,WW,Unity,3761479.0
2021-06-10,WW,Unity,3700942.0
2021-06-11,WW,Unity,3796645.0
2021-06-12,WW,Unity,4134842.0
2021-06-13,WW,Unity,4127050.0
2021-06-14,WW,Unity,3507070.0
2021-06-15,WW,Unity,2980885.0
2021-06-16,WW,Unity,3186569.0
2021-06-17,WW,Unity,3084632.0
2021-06-18,WW,Unity,3175080.0
2021-06-19,WW,Unity,3726442.0
2021-06-20,WW,Unity,4091493.0
2021-06-21,WW,Unity,3264177.0
2021-06-22,WW,Unity,3068197.0
2021-06-23,WW,Unity,3014024.0
2021-06-24,WW,Unity,3168162.0
2021-06-25,WW,Unity,3183696.0
2021-06-26,WW,Unity,3633006.0
2021-06-27,WW,Unity,3738665.0
2021-06-28,WW,Unity,3204699.0
2021-06-29,WW,Unity,3183323.0
2021-06-30,WW,Unity,3128081.0
2021-07-01,WW,Unity,3138530.0
2021-07-02,WW,Unity,3225211.0
2021-07-03,WW,Unity,3617594.0
2021-07-04,WW,Unity,3591295.0
2021-07-05,WW,Unity,3188176.0
2021-07-06,WW,Unity,3133532.0
2021-07-07,WW,Unity,3042125.0
2021-07-08,WW,Unity,3411896.0
2021-07-09,WW,Unity,4066865.0
2021-07-10,WW,Unity,3603419.0
2021-07-11,WW,Unity,4197223.0
2021-07-12,WW,Unity,3463355.0
2021-07-13,WW,Unity,3230814.0
2021-07-14,WW,Unity,3296593.0
2021-07-15,WW,Unity,3280615.0
2021-07-16,WW,Unity,3556780.0
2021-07-17,WW,Unity,3930696.0
2021-07-18,WW,Unity,3968510.0
2021-07-19,WW,Unity,3613659.0
2021-07-20,WW,Unity,3912345.0
2021-07-21,WW,Unity,4294021.0
2021-07-22,WW,Unity,3345315.0
2021-07-23,WW,Unity,3510663.0
2021-07-24,WW,Unity,3669756.0
2021-07-25,WW,Unity,3902668.0
2021-07-26,WW,Unity,3588794.0
2021-07-27,WW,Unity,3402121.0
2021-07-28,WW,Unity,3504308.0
2021-07-29,WW,Unity,3478390.0
2021-07-30,WW,Unity,3277648.0
2021-07-31,WW,Unity,3648045.0
2021-08-01,WW,Unity,3860813.0
2021-08-02,WW,Unity,3382283.0
2021-08-03,WW,Unity,3577233.0
2021-08-04,WW,Unity,3234562.0
2021-08-05,WW,Unity,3312825.0
2021-08-06,WW,Unity,2768362.0
2021-08-07,WW,Unity,3005377.0
2021-08-08,WW,Unity,3893561.0
2021-08-09,WW,Unity,2937268.0
2021-08-10,WW,Unity,3041051.0
2021-08-11,WW,Unity,2877003.0
2021-08-12,WW,Unity,2861647.0
2021-08-13,WW,Unity,3037145.0
2021-08-14,WW,Unity,3251555.0
2021-08-15,WW,Unity,3629247.0
2021-08-16,WW,Unity,2873264.0
2021-08-17,WW,Unity,2838735.0
2021-08-18,WW,Unity,2810430.0
2021-08-19,WW,Unity,2831363.0
2021-08-20,WW,Unity,2746365.0
2021-08-21,WW,Unity,3061968.0
2021-08-22,WW,Unity,3661543.0
2021-08-23,WW,Unity,2623655.0
2021-08-24,WW,Unity,2623161.0
2021-08-25,WW,Unity,2805909.0
2021-08-26,WW,Unity,2718201.0
2021-08-27,WW,Unity,2895764.0
2021-08-28,WW,Unity,4466432.0
2021-08-29,WW,Unity,4621242.0
2021-08-30,WW,Unity,2693656.0
2021-08-31,WW,Unity,2691249.0
2021-09-01,WW,Unity,2475936.0
2021-09-02,WW,Unity,2089672.0
2021-09-03,WW,Unity,2390856.0
2021-09-04,WW,Unity,4047787.0
2021-09-05,WW,Unity,3307898.0
2021-09-06,WW,Unity,2892855.0
2021-09-07,WW,Unity,2344162.0
2021-09-08,WW,Unity,2257723.0
2021-09-09,WW,Unity,2266334.0
2021-09-10,WW,Unity,2447876.0
2021-09-11,WW,Unity,3284030.0
2021-09-12,WW,Unity,2928578.0
2021-09-13,WW,Unity,2093116.0
2021-09-14,WW,Unity,2036072.0
2021-09-15,WW,Unity,2713017.0
2021-09-16,WW,Unity,3003385.0
2021-09-17,WW,Unity,2913569.0
2021-09-18,WW,Unity,3963926.0
