date,country,network,market_volume
2021-04-26,WW,other,1235092.0
2021-04-27,WW,other,1013485.0
2021-04-28,WW,other,1047165.0
2021-04-29,WW,other,1148134.0
2021-04-30,WW,other,1535673.0
2021-05-01,WW,other,1786388.0
2021-05-02,WW,other,1904338.0
2021-05-03,WW,other,1514894.0
2021-05-04,WW,other,1177380.0
2021-05-05,WW,other,1176335.0
2021-05-06,WW,other,1243386.0
2021-05-07,WW,other,1325807.0
2021-05-08,WW,other,1516434.0
2021-05-09,WW,other,1823456.0
2021-05-10,WW,other,1078699.0
2021-05-11,WW,other,1261869.0
2021-05-12,WW,other,1360883.0
2021-05-13,WW,other,1702984.0
2021-05-14,WW,other,1413102.0
2021-05-15,WW,other,1697022.0
2021-05-16,WW,other,1849535.0
2021-05-17,WW,other,1247614.0
2021-05-18,WW,other,1246156.0
2021-05-19,WW,other,1292905.0
2021-05-20,WW,other,1479962.0
2021-05-21,WW,other,1522204.0
2021-05-22,WW,other,1896771.0
2021-05-23,WW,other,2047858.0
2021-05-24,WW,other,1381983.0
2021-05-25,WW,other,1497026.0
2021-05-26,WW,other,1553359.0
2021-05-27,WW,other,1570234.0
2021-05-28,WW,other,1559664.0
2021-05-29,WW,other,1834950.0
2021-05-30,WW,other,1953205.0
2021-05-31,WW,other,1496327.0
2021-06-01,WW,other,1378797.0
2021-06-02,WW,other,1502576.0
2021-06-03,WW,other,1730651.0
2021-06-04,WW,other,1492876.0
2021-06-05,WW,other,1771921.0
2021-06-06,WW,other,1776639.0
2021-06-07,WW,other,1118423.0
2021-06-08,WW,other,1005144.0
2021-06-09,WW,other,1003554.0
2021-06-10,WW,other,1092450.0
2021-06-11,WW,other,1088160.0
2021-06-12,WW,other,1299349.0
2021-06-13,WW,other,1410281.0
2021-06-14,WW,other,1181716.0
2021-06-15,WW,other,1091223.0
2021-06-16,WW,other,1132407.0
2021-06-17,WW,other,1035104.0
2021-06-18,WW,other,1048849.0
2021-06-19,WW,other,1333893.0
2021-06-20,WW,other,1406238.0
2021-06-21,WW,other,1051020.0
2021-06-22,WW,other,940458.0
2021-06-23,WW,other,985624.0
2021-06-24,WW,other,1049071.0
2021-06-25,WW,other,1060802.0
2021-06-26,WW,other,1263694.0
2021-06-27,WW,other,1371696.0
2021-06-28,WW,other,860858.0
2021-06-29,WW,other,996689.0
2021-06-30,WW,other,1009068.0
2021-07-01,WW,other,899895.0
2021-07-02,WW,other,933456.0
2021-07-03,WW,other,997967.0
2021-07-04,WW,other,1070502.0
2021-07-05,WW,other,824961.0
2021-07-06,WW,other,820164.0
2021-07-07,WW,other,810687.0
2021-07-08,WW,other,908610.0
2021-07-09,WW,other,975094.0
2021-07-10,WW,other,1088895.0
2021-07-11,WW,other,1105667.0
2021-07-12,WW,other,867262.0
2021-07-13,WW,other,982025.0
2021-07-14,WW,other,990922.0
2021-07-15,WW,other,960501.0
2021-07-16,WW,other,1205498.0
2021-07-17,WW,other,1360065.0
2021-07-18,WW,other,1286600.0
2021-07-19,WW,other,1054538.0
2021-07-20,WW,other,1311107.0
2021-07-21,WW,other,2076678.0
2021-07-22,WW,other,1262354.0
2021-07-23,WW,other,1273696.0
2021-07-24,WW,other,1298983.0
2021-07-25,WW,other,1150739.0
2021-07-26,WW,other,993501.0
2021-07-27,WW,other,913849.0
2021-07-28,WW,other,1058336.0
2021-07-29,WW,other,1060318.0
2021-07-30,WW,other,1046170.0
2021-07-31,WW,other,1114299.0
2021-08-01,WW,other,1266425.0
2021-08-02,WW,other,863096.0
2021-08-03,WW,other,1001077.0
2021-08-04,WW,other,845572.0
2021-08-05,WW,other,871276.0
2021-08-06,WW,other,862144.0
2021-08-07,WW,other,1001131.0
2021-08-08,WW,other,1089550.0
2021-08-09,WW,other,788330.0
2021-08-10,WW,other,767501.0
2021-08-11,WW,other,704571.0
2021-08-12,WW,other,761177.0
2021-08-13,WW,other,829213.0
2021-08-14,WW,other,869878.0
2021-08-15,WW,other,1006759.0
2021-08-16,WW,other,802460.0
2021-08-17,WW,other,794679.0
2021-08-18,WW,other,749027.0
2021-08-19,WW,other,762302.0
2021-08-20,WW,other,800021.0
2021-08-21,WW,other,877052.0
2021-08-22,WW,other,984789.0
2021-08-23,WW,other,718915.0
2021-08-24,WW,other,872980.0
2021-08-25,WW,other,837748.0
2021-08-26,WW,other,835881.0
2021-08-27,WW,other,901214.0
2021-08-28,WW,other,1033994.0
2021-08-29,WW,other,1109186.0
2021-08-30,WW,other,809690.0
2021-08-31,WW,other,1017151.0
2021-09-01,WW,other,604112.0
2021-09-02,WW,other,645819.0
2021-09-03,WW,other,675388.0
2021-09-04,WW,other,1271677.0
2021-09-05,WW,other,1494461.0
2021-09-06,WW,other,873523.0
2021-09-07,WW,other,1051789.0
2021-09-08,WW,other,964533.0
2021-09-09,WW,other,609415.0
2021-09-10,WW,other,919434.0
2021-09-11,WW,other,1172462.0
2021-09-12,WW,other,1450443.0
2021-09-13,WW,other,814787.0
2021-09-14,WW,other,716888.0
2021-09-15,WW,other,874520.0
2021-09-16,WW,other,842073.0
2021-09-17,WW,other,1322486.0
2021-09-18,WW,other,2753061.0
