date,estimated_ecpm
2021-07-01,9.312
2021-07-02,9.671
2021-07-03,10.047
2021-07-04,9.287
2021-07-05,8.9
2021-07-06,9.627
2021-07-07,9.025
2021-07-08,9.674
2021-07-09,9.81
2021-07-10,9.876
2021-07-11,9.401
2021-07-12,9.439
2021-07-13,10.441
2021-07-14,9.962
2021-07-15,10.247
2021-07-16,10.134
2021-07-17,9.654
2021-07-18,9.931
2021-07-19,9.091
2021-07-20,10.414
2021-07-21,10.38
2021-07-22,10.047
2021-07-23,10.063
2021-07-24,9.817
2021-07-25,9.988
2021-07-26,10.406
2021-07-27,10.788
2021-07-28,10.301
2021-07-29,10.155
2021-07-30,10.635
2021-07-31,10.11
2021-08-01,10.355
2021-08-02,9.953
2021-08-03,9.57
2021-08-04,9.839
2021-08-05,10.972
2021-08-06,9.673
2021-08-07,10.25
