date,platform,country,networks,market_volume
2021-12-05,Android,WW,other,3899159.6225277497
2021-12-05,Android,WW,Facebook,9500903.903580494
2021-12-05,Android,WW,Unity,3710226.65995039
2021-12-05,Android,WW,AppLovin,6971025.061485489
2021-12-05,Android,WW,Chartboost,4008034.4263589396
2021-12-05,Android,WW,IronSource,12453106.813207546
2021-12-05,Android,WW,Amazon,33627055.290739104
2021-12-05,Android,WW,AdMob,5459070.675590656
2021-12-04,iOS,WW,Chartboost,1584406.9102783308
2021-12-04,iOS,WW,IronSource,4346857.812577391
2021-12-04,iOS,WW,AdMob,11242634.841327492
2021-12-04,iOS,WW,AppLovin,3843797.166851127
2021-12-04,iOS,WW,Unity,4249252.59102098
2021-12-04,iOS,WW,other,3085620.2113563837
2021-12-04,iOS,WW,Facebook,7170373.88014091
2021-12-04,iOS,WW,Amazon,9164372.97292683
2021-12-02,Android,WW,other,4336961.271236016
2021-12-02,Android,WW,Unity,3144734.1719852663
2021-12-02,Android,WW,AdMob,4074190.8810885306
2021-12-02,Android,WW,Chartboost,3670703.5780308372
2021-12-02,Android,WW,IronSource,5252553.489285715
2021-12-02,Android,WW,AppLovin,5828552.2695251405
2021-12-02,Android,WW,Amazon,16871162.708193786
2021-12-02,Android,WW,Facebook,7205351.571376676
2021-12-03,iOS,WW,IronSource,3313047.927542655
2021-12-03,iOS,WW,AdMob,8401338.529297298
2021-12-03,iOS,WW,Amazon,4606196.100689656
2021-12-03,iOS,WW,Facebook,6757075.689324603
2021-12-03,iOS,WW,Chartboost,1091527.4515073155
2021-12-03,iOS,WW,AppLovin,2908689.394757038
2021-12-03,iOS,WW,Unity,3358111.316583802
2021-12-03,iOS,WW,other,2540371.346028499
2021-12-03,Android,WW,Amazon,16379973.81973931
2021-12-03,Android,WW,Facebook,7960176.522761694
2021-12-03,Android,WW,other,4555298.009085829
2021-12-03,Android,WW,Unity,3747220.5668072375
2021-12-03,Android,WW,AdMob,4250709.101977769
2021-12-03,Android,WW,Chartboost,3416000.6979838894
2021-12-03,Android,WW,AppLovin,6585496.920046485
2021-12-03,Android,WW,IronSource,5308615.971016201
2021-11-29,iOS,WW,Amazon,1104939.7577092513
2021-11-29,iOS,WW,other,1936895.190585066
2021-11-29,iOS,WW,Chartboost,1017412.2548872755
2021-11-29,iOS,WW,AdMob,8340310.914366812
2021-11-29,iOS,WW,IronSource,3800442.3075915356
2021-11-29,iOS,WW,Facebook,3228810.5812500003
2021-11-29,iOS,WW,Unity,3226607.531551584
2021-11-29,iOS,WW,AppLovin,2714557.001358882
2021-11-30,iOS,WW,AdMob,7578111.734226804
2021-11-30,iOS,WW,Unity,2939079.257475275
2021-11-30,iOS,WW,Amazon,5045310.592546584
2021-11-30,iOS,WW,Chartboost,1186183.652158144
2021-11-30,iOS,WW,IronSource,2840406.7442788575
2021-11-30,iOS,WW,Facebook,6030146.940493903
2021-11-30,iOS,WW,AppLovin,2637031.292097512
2021-11-30,iOS,WW,other,2063931.0432197428
2021-12-01,iOS,WW,AdMob,7282346.581003717
2021-12-01,iOS,WW,other,2459969.8063800214
2021-12-01,iOS,WW,IronSource,3395107.60454236
2021-12-01,iOS,WW,Unity,3128334.7968707266
2021-12-01,iOS,WW,Chartboost,1119926.9772131066
2021-12-01,iOS,WW,Facebook,4644850.000441539
2021-12-01,iOS,WW,Amazon,2417493.5398894735
2021-12-01,iOS,WW,AppLovin,2862534.0477366773
2021-11-30,Android,WW,Amazon,13219349.496853314
2021-11-30,Android,WW,Chartboost,3340708.94567463
2021-11-30,Android,WW,Facebook,7443861.536696902
2021-11-30,Android,WW,AppLovin,5433459.402682649
2021-11-30,Android,WW,IronSource,10054393.98353279
2021-11-30,Android,WW,Unity,2916857.101602828
