date,estimated_ecpm
2021-07-01,10.555
2021-07-02,10.647
2021-07-03,10.586
2021-07-04,10.782
2021-07-05,10.758
2021-07-06,11.228
2021-07-07,10.927
2021-07-08,11.943
2021-07-09,11.802
2021-07-10,11.381
2021-07-11,11.484
2021-07-12,9.795
2021-07-13,10.809
2021-07-14,11.572
2021-07-15,11.404
2021-07-16,11.611
2021-07-17,10.98
2021-07-18,11.599
2021-07-19,11.571
2021-07-20,13.476
2021-07-21,12.377
2021-07-22,12.502
2021-07-23,11.726
2021-07-24,12.202
2021-07-25,12.17
2021-07-26,12.034
2021-07-27,12.639
2021-07-28,12.3
2021-07-29,12.568
2021-07-30,13.1
2021-07-31,13.679
2021-08-01,14.698
2021-08-02,13.296
2021-08-03,12.665
2021-08-04,12.269
2021-08-05,12.098
2021-08-06,11.676
2021-08-07,12.738
