date,estimated_ecpm
2021-07-01,23.223
2021-07-02,23.707
2021-07-03,24.627
2021-07-04,24.827
2021-07-05,24.227
2021-07-06,24.12
2021-07-07,24.858
2021-07-08,25.146
2021-07-09,25.907
2021-07-10,26.53
2021-07-11,25.907
2021-07-12,24.697
2021-07-13,24.052
2021-07-14,25.071
2021-07-15,25.066
2021-07-16,24.611
2021-07-17,25.454
2021-07-18,25.223
2021-07-19,24.962
2021-07-20,24.911
2021-07-21,25.615
2021-07-22,25.671
2021-07-23,24.884
2021-07-24,25.35
2021-07-25,26.776
2021-07-26,26.659
2021-07-27,25.715
2021-07-28,25.326
2021-07-29,25.77
2021-07-30,25.774
2021-07-31,25.135
2021-08-01,25.335
2021-08-02,24.169
2021-08-03,23.222
2021-08-04,23.506
2021-08-05,24.592
2021-08-06,24.327
2021-08-07,24.183
